temp,precip,reliability,critical_reliability,safeyield
0,0.7,71.8333333333,82.1111111111,69.0625
1,0.7,71.3333333333,81.6666666667,69.0625
2,0.7,71,81.3333333333,69.0625
3,0.7,70.4444444444,81,67.96875
4,0.7,70.0555555556,80.3888888889,66.875
5,0.7,69.4444444444,79.9444444444,66.875
0,0.8,79.1666666667,87.0555555556,80
1,0.8,78.6666666667,86.8333333333,77.8125
2,0.8,78.5,86.5555555556,77.8125
3,0.8,77.5555555556,86.1666666667,77.8125
4,0.8,77.1111111111,85.8333333333,75.625
5,0.8,76.7777777778,85.4444444444,75.625
0,0.9,85,90.8888888889,87.65625
1,0.9,84.5,90.6111111111,87.65625
2,0.9,84.2222222222,90.3333333333,86.5625
3,0.9,83.7222222222,90.0555555556,86.5625
4,0.9,83.2222222222,89.8333333333,85.46875
5,0.9,82.7777777778,89.6111111111,84.375
0,1,90.2222222222,94.2222222222,95.3125
1,1,89.7222222222,94.0555555556,95.3125
2,1,89.2777777778,93.6111111111,94.21875
3,1,88.6111111111,93.3333333333,93.125
4,1,88.2222222222,93.2222222222,93.125
5,1,88,93.0555555556,92.03125
0,1.1,93.7777777778,96.2222222222,101.875
1,1.1,93.5,96.0555555556,99.6875
2,1.1,93.2777777778,95.8888888889,99.6875
3,1.1,93.0555555556,95.8333333333,99.6875
4,1.1,92.6666666667,95.6666666667,98.59375
5,1.1,92.5,95.5,97.5
0,1.2,95.8333333333,97.5,106.25
1,1.2,95.6666666667,97.4444444444,104.0625
2,1.2,95.5555555556,97.3888888889,104.0625
3,1.2,95.5,97.1111111111,104.0625
4,1.2,95.2777777778,97.1111111111,104.0625
5,1.2,95.1666666667,97.0555555556,104.0625
0,1.3,96.8888888889,98.3333333333,108.4375
1,1.3,96.7777777778,98.2777777778,108.4375
2,1.3,96.5555555556,98.2777777778,108.4375
3,1.3,96.5,98.2222222222,108.4375
4,1.3,96.5,98.0555555556,106.25
5,1.3,96.3333333333,98,106.25
0,1.4,97.5555555556,98.7222222222,112.8125
1,1.4,97.4444444444,98.7222222222,112.8125
2,1.4,97.4444444444,98.6666666667,112.8125
3,1.4,97.4444444444,98.5555555556,112.8125
4,1.4,97.3333333333,98.5555555556,110.625
5,1.4,97.2777777778,98.5555555556,110.625
0,1.5,98.0555555556,99.0555555556,115
1,1.5,98.0555555556,98.9444444444,115
2,1.5,98.0555555556,98.8888888889,115
3,1.5,97.9444444444,98.8888888889,115
4,1.5,97.8888888889,98.8888888889,115
5,1.5,97.8333333333,98.8333333333,115
